DIVISION,DISTRICT,INSTITUTE_NAME,TYP_ID,MANAGEMENT,TYP,EDU_LEVEL,STUD_TYP,MPO,AREA,GEOGRPY,SECURITY_GUARD,HAVING_COMP_LAB,HAVING_ELECTRICITY,HAVING_SOLAR_PANEL,NUMBER_OF_MULTIMEDIA,TOTAL_COMPUTER,CC_CAMERA_NUM,INTERNET_YN,COMP_LAB_DAILY_USE_HR,TOTAL_LAB_COMPUTER,SSC_TOT_APP,SSC_TOT_PASS,CLASS_ROOM,CLASS_ROOM_MULTIMEDIA,PACKA,TOT_STU,FEM_STU,TOT_TEACHER,FEM_TEACHER,CAPEX,OPEX
Chattogram,Cumilla,JOYNAGOR SCHEDUL CAST HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,1,NO,YES,0,0,88,65,8,NO,2,530,305,11,2,860000,3960500
Chattogram,Cumilla,JOYNAGOR SCHEDUL CAST HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,1,NO,YES,0,0,88,65,8,NO,2,530,305,11,2,860000,3960500
Dhaka,Dhaka,BARRAH HABIL UDDIN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,2,NO,YES,0,0,196,133,16,YES,3,957,566,21,3,1720000,7561000
Dhaka,Dhaka,BARRAH HABIL UDDIN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,2,NO,YES,0,0,196,133,16,YES,3,957,566,21,3,1720000,7561000
Dhaka,Dhaka,MIRPUR UDAYAN SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,2,24,NO,YES,4,21,143,129,15,YES,2,700,392,34,19,2940000,12252000
Dhaka,Dhaka,MIRPUR UDAYAN SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,2,24,NO,YES,4,21,143,129,15,YES,2,700,392,34,19,2940000,12252000
Dhaka,Dhaka,MATUAIL GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,NO,Yes,YES,YES,2,24,NO,YES,4,21,45,45,9,YES,0,388,366,19,11,2340000,6852000
Dhaka,Dhaka,MATUAIL GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,NO,Yes,YES,YES,2,24,NO,YES,4,21,45,45,9,YES,0,388,366,19,11,2340000,6852000
Chattogram,Cumilla,SRIPUR PRASANNA ACADEMY,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,3,0,NO,YES,1,0,140,99,10,YES,4,815,458,13,5,1000000,4680000
Chattogram,Cumilla,SRIPUR PRASANNA ACADEMY,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,3,0,NO,YES,1,0,140,99,10,YES,4,815,458,13,5,1000000,4680000
Chattogram,Cumilla,GOMTA ISHAKIA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,0,0,NO,YES,0,0,113,71,10,NO,0,755,427,9,0,1000000,3240000
Chattogram,Cumilla,TAYMOS BEGUM HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,NO,NO,0,0,NO,NO,0,0,102,88,14,YES,1,753,427,8,3,1400000,2880000
Chattogram,Cumilla,TAYMOS BEGUM HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,NO,NO,0,0,NO,NO,0,0,102,88,14,YES,1,753,427,8,3,1400000,2880000
Dhaka,Dhaka,BAUNIA BANDH IDEAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,No,YES,YES,1,3,YES,YES,0,0,125,120,17,YES,2,"1,023",580,20,7,1880000,7201500
Dhaka,Dhaka,SENA PALLY HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,NO,CityCorp,PLAIN LAND,YES,Yes,YES,YES,8,23,YES,YES,4,20,109,108,20,YES,2,"1,986",939,29,14,3380000,10451500
Chattogram,Cumilla,NURUL ISLAM HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,NO,1,3,NO,YES,0,0,32,25,7,YES,2,467,248,10,1,880000,3601500
Chattogram,Cumilla,NURUL ISLAM HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,NO,1,3,NO,YES,0,0,32,25,7,YES,2,467,248,10,1,880000,3601500
Chattogram,Cumilla,RAZZAK HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,No,YES,YES,1,2,YES,YES,2,0,64,50,12,NO,1,431,250,12,4,1320000,4321000
Dhaka,Dhaka,SIRAJ NAGAR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,6,NO,YES,4,0,54,53,12,YES,2,563,252,12,2,1560000,4323000
Chattogram,Cumilla,MAHICHAIL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,BOYS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,2,3,NO,YES,5,0,138,120,13,YES,2,678,4,15,2,1480000,5401500
Dhaka,Dhaka,"CANTONMENY BOARD HIGH SCHOOL, MIRPUR-",1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NOT APPLICABLE,CityCorp,PLAIN LAND,YES,No,YES,NO,0,2,NO,YES,0,0,26,26,6,NO,2,241,122,12,8,720000,4321000
Dhaka,Dhaka,MUKSUDPUR GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,3,NO,YES,2,0,55,52,11,YES,2,353,353,12,3,1280000,4321500
Dhaka,Dhaka,MUKSUDPUR GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,3,NO,YES,2,0,55,52,11,YES,2,353,353,12,3,1280000,4321500
Dhaka,Dhaka,RAIS NAGAR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,2,13,NO,YES,8,11,124,108,11,YES,1,586,343,24,5,1880000,8646500
Dhaka,Dhaka,PARZOWAR KALINDI M.L.HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,BOYS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,11,YES,YES,0,0,146,131,20,YES,0,"1,395",51,28,13,2660000,10085500
Dhaka,Dhaka,PARZOWAR KALINDI M.L.HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,BOYS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,11,YES,YES,0,0,146,131,20,YES,0,"1,395",51,28,13,2660000,10085500
Chattogram,Cumilla,GOPAL NAGAR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,0,NO,NO,0,0,193,146,18,YES,6,"1,270",691,6,1,1800000,2160000
Chattogram,Cumilla,GOPAL NAGAR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,0,NO,NO,0,0,193,146,18,YES,6,"1,270",691,6,1,1800000,2160000
Dhaka,Dhaka,MOHAMMADPUR GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,1,6,YES,YES,5,24,188,173,1,YES,4,"1,237","1,237",55,33,460000,19803000
Chattogram,Cumilla,ABEDA-NOOR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,BOYS,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,1,NO,YES,1,2,61,60,10,YES,2,528,0,12,2,1060000,4320500
Chattogram,Cumilla,NANGALKOT A.R. MODEL GOVT. HIGH SCHOOL,1,GOVERNMENT,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR MUNICIPALITY,PLAIN LAND,NO,Yes,YES,NO,8,40,NO,NO,5,30,85,82,14,YES,14,610,175,15,4,3800000,5420000
Chattogram,Cumilla,NANGALKOT A.R. MODEL GOVT. HIGH SCHOOL,1,GOVERNMENT,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR MUNICIPALITY,PLAIN LAND,NO,Yes,YES,NO,8,40,NO,NO,5,30,85,82,14,YES,14,610,175,15,4,3800000,5420000
Chattogram,Cumilla,KULIARA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,YES,2,16,NO,YES,4,17,82,62,5,YES,3,396,211,8,2,1460000,2888000
Chattogram,Cumilla,DEORA SECONDARY SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,OTHER MUNICIPALITY AREA,PLAIN LAND,NO,No,YES,YES,2,3,NO,YES,0,0,21,11,8,NO,2,281,171,9,0,980000,3241500
Chattogram,Cumilla,GOPAL NAGAR B.A.B. HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,NO,3,2,NO,YES,2,17,135,126,4,YES,3,638,326,12,3,520000,4321000
Dhaka,Dhaka,KALAMPUR AMATAN NESA GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,Yes,NO,YES,1,0,NO,YES,3,35,227,158,20,YES,4,861,861,13,7,2000000,4680000
Dhaka,Dhaka,KALAMPUR AMATAN NESA GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,Yes,NO,YES,1,0,NO,YES,3,35,227,158,20,YES,4,861,861,13,7,2000000,4680000
Chattogram,Cumilla,KHIRONSHAL KAZI JAFOR AHMED HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,3,NO,YES,0,0,76,63,8,YES,0,313,143,13,2,980000,4681500
Chattogram,Cumilla,KHIRONSHAL KAZI JAFOR AHMED HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,3,NO,YES,0,0,76,63,8,YES,0,313,143,13,2,980000,4681500
Dhaka,Dhaka,GREENVIEW HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,YES,No,NO,NO,0,0,NO,NO,0,0,315,279,13,YES,0,212,115,20,11,1300000,7200000
Dhaka,Dhaka,GREENVIEW HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,CityCorp,PLAIN LAND,YES,No,NO,NO,0,0,NO,NO,0,0,315,279,13,YES,0,212,115,20,11,1300000,7200000
Chattogram,Cumilla,UTTAR HOWLA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,1,NO,YES,2,0,114,78,14,NO,3,762,452,11,0,1460000,3960500
Chattogram,Cumilla,AMRATALI C.ALI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,YES,1,3,NO,YES,3,5,180,164,18,YES,3,"1,220",766,18,6,1980000,6481500
Chattogram,Cumilla,BATISA SECONDARY GIRLS SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,0,NO,YES,0,0,95,77,12,YES,2,754,754,14,5,1200000,5040000
Chattogram,Cumilla,BURICHONG HAZI FAZAR ALI HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR BUT NOT MUNICIPALITY,PLAIN LAND,NO,No,YES,NO,1,2,NO,YES,0,0,52,43,11,YES,2,376,180,14,5,1220000,5041000
Dhaka,Dhaka,TETULJHORA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,2,1,YES,YES,2,11,171,128,10,NO,0,794,423,16,3,1060000,5760500
Dhaka,Dhaka,LOTAKHOLA AZAHAR ALI MEMORIAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR MUNICIPALITY,PLAIN LAND,NO,No,YES,NO,1,2,NO,YES,6,0,113,67,1,YES,1,898,435,24,7,220000,8641000
Dhaka,Dhaka,LOTAKHOLA AZAHAR ALI MEMORIAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR MUNICIPALITY,PLAIN LAND,NO,No,YES,NO,1,2,NO,YES,6,0,113,67,1,YES,1,898,435,24,7,220000,8641000
Dhaka,Dhaka,KHILGAON GOVT.STAFF QR.HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,NO,Yes,YES,YES,2,13,YES,YES,4,11,75,57,5,NO,0,564,226,9,4,1280000,3246500
Dhaka,Dhaka,KHILGAON GOVT.STAFF QR.HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,NO,Yes,YES,YES,2,13,YES,YES,4,11,75,57,5,NO,0,564,226,9,4,1280000,3246500
Chattogram,Cumilla,PANCHKITTA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,2,NO,YES,0,0,107,77,10,YES,1,845,454,14,3,1120000,5041000
Chattogram,Cumilla,PANCHKITTA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,2,NO,YES,0,0,107,77,10,YES,1,845,454,14,3,1120000,5041000
Dhaka,Dhaka,KHILGAON HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,1,4,YES,YES,0,3,235,209,5,,0,"1,327",568,29,16,740000,10442000
Dhaka,Dhaka,MIRPUR GIRL'S IDEAL LABRATORY INSTITUTE,1,NON-GOVT.,School,Junior Secondary,GIRLS,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,3,3,YES,YES,6,16,435,427,59,YES,3,"3,128","3,128",61,39,6080000,21961500
Dhaka,Dhaka,RAYER BAZAR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,7,5,YES,YES,5,9,224,221,1,YES,3,"1,663",650,51,30,400000,18362500
Dhaka,Dhaka,ISLAMBAD HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,NO,1,2,NO,YES,0,0,151,112,12,NO,2,787,466,15,4,1320000,5401000
Chattogram,Cumilla,HARIPUR ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,3,NO,YES,3,2,31,25,9,YES,2,465,234,10,2,1080000,3601500
Chattogram,Cumilla,HARIPUR ADARSHA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,3,NO,YES,3,2,31,25,9,YES,2,465,234,10,2,1080000,3601500
Chattogram,Cumilla,OUR LADY OF FATIMA GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,2,2,YES,YES,5,3,91,91,14,NO,3,"1,346","1,346",21,16,1520000,7561000
Chattogram,Cumilla,SHEIKH MUZIBUR RAHMAN HIGH SCHOOL BEJURA,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,0,NO,YES,2,3,101,80,7,YES,1,635,328,11,6,700000,3960000
Chattogram,Cumilla,SHEIKH MUZIBUR RAHMAN HIGH SCHOOL BEJURA,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,1,0,NO,YES,2,3,101,80,7,YES,1,635,328,11,6,700000,3960000
Dhaka,Dhaka,SHAHEED ZIA BSABOO HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,No,YES,YES,1,0,YES,YES,3,0,49,43,11,YES,1,357,180,11,4,1100000,3960000
Dhaka,Dhaka,SHAHEED ZIA BSABOO HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,No,YES,YES,1,0,YES,YES,3,0,49,43,11,YES,1,357,180,11,4,1100000,3960000
Chattogram,Cumilla,AKBBARER NESA GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,8,NO,YES,4,0,91,75,12,YES,6,845,845,11,6,1680000,3964000
Chattogram,Cumilla,AKBBARER NESA GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,8,NO,YES,4,0,91,75,12,YES,6,845,845,11,6,1680000,3964000
Chattogram,Cumilla,UNKOT HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,NO,1,1,NO,YES,2,11,74,62,11,YES,2,456,278,12,2,1160000,4320500
Chattogram,Cumilla,UNKOT HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,Yes,YES,NO,1,1,NO,YES,2,11,74,62,11,YES,2,456,278,12,2,1160000,4320500
Dhaka,Dhaka,SHUKURJAN ZINNAT ALI ADARSHA SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,UPZILA SADAR MUNICIPALITY,PLAIN LAND,YES,No,YES,YES,1,4,NO,YES,2,0,409,330,10,YES,2,"1,354",685,9,5,1240000,3242000
Dhaka,Dhaka,SHUKURJAN ZINNAT ALI ADARSHA SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,UPZILA SADAR MUNICIPALITY,PLAIN LAND,YES,No,YES,YES,1,4,NO,YES,2,0,409,330,10,YES,2,"1,354",685,9,5,1240000,3242000
Chattogram,Cumilla,KUSMPUR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,YES,1,11,NO,YES,2,10,57,51,7,NO,2,429,245,7,2,1360000,2525500
Chattogram,Cumilla,KAKAIRTALA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,1,NO,YES,0,0,109,95,9,NO,3,710,414,10,3,960000,3600500
Chattogram,Cumilla,KAKAIRTALA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,1,NO,YES,0,0,109,95,9,NO,3,710,414,10,3,960000,3600500
Dhaka,Dhaka,SHAH ABDUL HAMID KALANDAR GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,YES,No,NO,NO,1,2,NO,NO,0,0,99,61,8,YES,1,534,534,11,3,920000,3961000
Chattogram,Cumilla,BHUBANGHAR ABUL HASEM ABBASIA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,1,0,YES,NO,0,0,90,61,7,NO,0,313,176,10,3,700000,3600000
Dhaka,Dhaka,DAKHIN KAFRUL MODEL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,CityCorp,PLAIN LAND,YES,No,YES,NO,1,3,YES,YES,0,0,79,73,9,NO,2,574,313,15,10,1080000,5401500
Chattogram,Cumilla,GOTROSHAL JUNIOR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,OTHER MUNICIPALITY AREA,PLAIN LAND,NO,No,YES,YES,0,0,NO,YES,0,0,24,7,10,NO,0,250,87,6,2,1000000,2160000
Dhaka,Dhaka,KAILAIL UNION TECHNICAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,NO,NO,0,0,NO,NO,0,0,85,61,5,NO,0,385,199,10,0,500000,3600000
Chattogram,Cumilla,ZOBEDA MAMATAZ GIRLS HIGH SHCOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,YES,2,4,NO,YES,2,0,146,131,13,YES,2,881,881,17,5,1540000,6122000
Chattogram,Cumilla,KAMAL SMRITY GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,YES,No,YES,NO,2,2,NO,YES,2,0,94,85,11,YES,4,756,756,11,3,1220000,3961000
Dhaka,Dhaka,AZIZIA ISLAMIA HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,NO,No,YES,YES,1,2,NO,YES,0,0,199,130,8,YES,1,370,161,11,5,920000,3961000
Chattogram,Cumilla,BURICHANG MODEL ACADEMY,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR BUT NOT MUNICIPALITY,PLAIN LAND,YES,No,YES,YES,1,7,NO,YES,0,0,62,60,12,YES,2,542,110,9,1,1620000,3243500
Chattogram,Cumilla,BAKHRABAD GAS ADARSHA BIDYALAYA,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,UPZILA SADAR BUT NOT MUNICIPALITY,PLAIN LAND,YES,Yes,YES,NO,1,1,NO,YES,2,6,63,62,11,YES,5,652,376,19,8,1160000,6840500
Chattogram,Cumilla,BAKHRABAD GAS ADARSHA BIDYALAYA,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO,UPZILA SADAR BUT NOT MUNICIPALITY,PLAIN LAND,YES,Yes,YES,NO,1,1,NO,YES,2,6,63,62,11,YES,5,652,376,19,8,1160000,6840500
Dhaka,Dhaka,BOCKCHAR TUITAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO, RURAL,PLAIN LAND,NO,No,YES,NO,2,3,NO,YES,0,0,27,25,6,YES,1,520,246,9,2,780000,3241500
Dhaka,Dhaka,BOCKCHAR TUITAL HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,NO, RURAL,PLAIN LAND,NO,No,YES,NO,2,3,NO,YES,0,0,27,25,6,YES,1,520,246,9,2,780000,3241500
Dhaka,Dhaka,AKRAN HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,NO,No,YES,YES,2,3,NO,YES,0,0,686,592,10,YES,3,642,304,11,2,1180000,3961500
Chattogram,Cumilla,NAZAM UDDIN BHUIYAN GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES, RURAL,PLAIN LAND,NO,No,YES,YES,1,2,NO,YES,4,0,50,25,6,YES,2,479,479,11,5,720000,3961000
Chattogram,Cumilla,JODDA BAZAR PUBLIC HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,NO,NO,0,0,NO,YES,0,0,109,50,6,NO,0,560,384,12,1,600000,4320000
Chattogram,Cumilla,JODDA BAZAR PUBLIC HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,NO,NO,0,0,NO,YES,0,0,109,50,6,NO,0,560,384,12,1,600000,4320000
Chattogram,Cumilla,KAMALPUR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,YES,0,2,NO,YES,0,0,60,57,8,NO,2,354,195,9,0,920000,3241000
Chattogram,Cumilla,MOZIDPUR HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES,UPZILA SADAR BUT NOT MUNICIPALITY,PLAIN LAND,NO,No,YES,NO,1,2,NO,NO,0,0,114,94,12,YES,4,717,435,10,3,1320000,3601000
Chattogram,Cumilla,POLICE LINE HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,10,2,YES,YES,2,17,316,303,7,YES,3,"1,758",894,41,11,820000,14761000
Chattogram,Cumilla,POLICE LINE HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,C0-EDUCATION SEPARATE,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,10,2,YES,YES,2,17,316,303,7,YES,3,"1,758",894,41,11,820000,14761000
Dhaka,Dhaka,SILVER DALE PREPARATORY & GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,YES,Yes,YES,YES,1,8,YES,NO,3,6,120,102,24,YES,1,516,516,10,3,2880000,3604000
Dhaka,Dhaka,ST.FRANCIS XAVIER'S GIRLS HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,GIRLS,YES,CityCorp,PLAIN LAND,YES,Yes,YES,NO,4,28,YES,YES,4,18,250,248,47,YES,1,"2,948","2,948",58,40,6380000,20894000
Chattogram,Cumilla,KANESH TALA  HIGH SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,No,YES,NO,1,2,NO,YES,2,0,75,63,12,YES,2,624,368,14,3,1320000,5041000
Dhaka,Dhaka,B K S P  PUBLIC SCHOOL,1,NON-GOVT.,School,Secondary ,CO-EDUCATION JOINT,YES, RURAL,PLAIN LAND,YES,Yes,YES,NO,2,3,NO,YES,2,12,90,81,18,YES,0,708,358,46,21,1980000,16561500
